date,home_team,away_team,result,season,result_code
2017-11-01,Mamedyarov,Navara,H,2017,1
2017-11-01,Jobava,Gelfand,D,2017,0
2017-11-02,Wang Hao,Ding Liren,D,2017,0
2017-11-02,Li Chao,Wei Yi,D,2017,0
2017-11-03,Nepomniachtchi,Duda,H,2017,1
2017-11-03,Aronian,Mamedyarov,H,2017,1
2017-11-03,Wojtaszek,Grischuk,D,2017,0
2017-11-03,Giri,Navara,D,2017,0
2017-11-04,Gelfand,Wojtaszek,D,2017,0
2017-11-05,Aronian,Wojtaszek,D,2017,0
2017-11-05,Grischuk,Mamedyarov,A,2017,-1
2017-11-05,Radjabov,Nepomniachtchi,H,2017,1
2017-11-05,Matlakov,Naiditsch,H,2017,1
2017-11-06,Mamedyarov,Eljanov,D,2017,0
2017-11-10,So,Dominguez Perez,A,2017,-1
2017-11-11,Matlakov,Jobava,H,2017,1
2017-11-11,Caruana,Grischuk,A,2017,-1
2017-11-12,Dominguez Perez,So,D,2017,0
2017-11-12,Caruana,Grischuk,H,2017,1
2017-11-18,Matlakov,Fedoseev,D,2017,0
2017-11-18,Ding Liren,Eljanov,D,2017,0
2017-11-18,Vallejo Pons,Gelfand,H,2017,1
2017-11-18,Tomashevsky,Nakamura,D,2017,0
2017-11-18,Radjabov,Giri,D,2017,0
2017-11-18,MVL,Aronian,D,2017,0
2017-11-19,Eljanov,Jakovenko,A,2017,-1
2017-11-19,Nakamura,Radjabov,H,2017,1
2017-11-19,Harikrishna,Vallejo Pons,H,2017,1
2017-11-19,Li Chao,Gelfand,D,2017,0
2017-11-19,Aronian,Giri,H,2017,1
2017-11-19,Svidler,MVL,D,2017,0
2017-11-20,Radjabov,Harikrishna,D,2017,0
2017-11-20,Vallejo Pons,Li Chao,D,2017,0
2017-11-20,Jakovenko,Svidler,D,2017,0
2017-11-20,Ding Liren,Aronian,D,2017,0
2017-11-20,MVL,Nakamura,D,2017,0
2017-11-22,Nakamura,Ding Liren,D,2017,0
2017-11-22,Aronian,Svidler,D,2017,0
2017-11-22,Tomashevsky,Radjabov,H,2017,1
2017-11-22,Li Chao,Eljanov,D,2017,0
2017-11-22,Harikrishna,MVL,D,2017,0
2017-11-22,Giri,Jakovenko,D,2017,0
2017-11-23,Radjabov,Li Chao,H,2017,1
2017-11-23,MVL,Tomashevsky,D,2017,0
2017-11-23,Svidler,Nakamura,D,2017,0
2017-11-23,Ding Liren,Giri,D,2017,0
2017-11-23,Jakovenko,Harikrishna,D,2017,0
2017-11-24,Aronian,Tomashevsky,D,2017,0
2017-11-24,Svidler,Ding Liren,D,2017,0
2017-11-24,Gelfand,Radjabov,A,2017,-1
2017-11-24,Nakamura,Harikrishna,D,2017,0
2017-11-24,Vallejo Pons,Eljanov,D,2017,0
2017-11-24,Li Chao,Giri,D,2017,0
2017-11-25,Vidit,Naiditsch,D,2017,0
2017-11-25,Eljanov,Gelfand,D,2017,0
2017-11-25,Tomashevsky,Ding Liren,D,2017,0
2017-11-25,Giri,Vallejo Pons,D,2017,0
2017-11-25,MVL,Jakovenko,A,2017,-1
2017-11-25,Nakamura,Aronian,D,2017,0
2017-11-25,Harikrishna,Svidler,D,2017,0
2017-12-01,Carlsen,Caruana,D,2017,0
2017-12-01,Nakamura,Anand,D,2017,0
2017-12-01,Adams,Karjakin,D,2017,0
2017-12-01,So,MVL,D,2017,0
2017-12-01,Nepomniachtchi,Aronian,D,2017,0
2017-12-02,Wang Hao,Yu Yangyi,D,2017,0
2017-12-03,Karjakin,Carlsen,D,2017,0
2017-12-03,Wei Yi,Ding Liren,D,2017,0
2017-12-03,Andreikin,Wang Hao,D,2017,0
2017-12-03,Caruana,Aronian,D,2017,0
2017-12-03,Anand,Adams,D,2017,0
2017-12-03,MVL,Nakamura,D,2017,0
2017-12-03,Vitiugov,Svidler,D,2017,0
2017-12-03,Matlakov,Tomashevsky,D,2017,0
2017-12-03,So,Nepomniachtchi,D,2017,0
2017-12-04,Tomashevsky,Fedoseev,A,2017,-1
2017-12-04,Aronian,Karjakin,D,2017,0
2017-12-04,Adams,MVL,D,2017,0
2017-12-04,Carlsen,Anand,D,2017,0
2017-12-04,Nepomniachtchi,Caruana,D,2017,0
2017-12-04,Nakamura,So,D,2017,0
2017-12-04,Cheparinov,Wei Yi,D,2017,0
2017-12-04,Wang Hao,Vallejo Pons,D,2017,0
2017-12-04,Andreikin,Li Chao,D,2017,0
2017-12-05,Anand,Aronian,D,2017,0
2017-12-05,Nakamura,Nepomniachtchi,D,2017,0
2017-12-05,Grischuk,Wang Hao,D,2017,0
2017-12-05,So,Adams,D,2017,0
2017-12-05,Karjakin,Caruana,A,2017,-1
2017-12-05,MVL,Carlsen,D,2017,0
2017-12-06,Matlakov,Fedoseev,A,2017,-1
2017-12-06,Tomashevsky,Vitiugov,D,2017,0
2017-12-06,Carlsen,So,D,2017,0
2017-12-06,Caruana,Anand,H,2017,1
2017-12-06,Adams,Nakamura,D,2017,0
2017-12-06,Aronian,MVL,D,2017,0
